name,short_name,display_name,sortable_name,slug,children,cfr_references,parent_agency,word_count
Department of Education,ED,Department of Education,"Education, Department of",education-department,"[{'name': 'Department of Education Acquisition Regulation', 'short_name': '', 'display_name': 'Department of Education Acquisition Regulation', 'sortable_name': 'Education Acquisition Regulation, Department of', 'slug': 'department-of-education-acquisition-regulation', 'cfr_references': [{'title': 48, 'chapter': '34'}]}, {'name': 'Office for Civil Rights', 'short_name': '', 'display_name': 'Office for Civil Rights, Department of Education', 'sortable_name': 'Civil Rights, Office for', 'slug': 'office-for-civil-rights', 'cfr_references': [{'title': 34, 'chapter': 'I'}]}, {'name': 'Office of and Adult Education Technical Career', 'short_name': '', 'display_name': 'Office of and Adult Education Technical Career, Department of Education', 'sortable_name': 'Career, Technical, and Adult Education, Office of', 'slug': 'office-of-and-adult-education-technical-career', 'cfr_references': [{'title': 34, 'chapter': 'IV'}]}, {'name': 'Office of Bilingual Education and Minority Languages Affairs', 'short_name': '', 'display_name': 'Office of Bilingual Education and Minority Languages Affairs, Department of Education', 'sortable_name': 'Bilingual Education and Minority Languages Affairs, Office of', 'slug': 'office-of-bilingual-education-and-minority-languages-affairs', 'cfr_references': [{'title': 34, 'chapter': 'V'}]}, {'name': 'Office of Elementary and Secondary Education', 'short_name': '', 'display_name': 'Office of Elementary and Secondary Education, Department of Education', 'sortable_name': 'Elementary and Secondary Education, Office of', 'slug': 'office-of-elementary-and-secondary-education', 'cfr_references': [{'title': 34, 'chapter': 'II'}]}, {'name': 'Office of Postsecondary Education', 'short_name': None, 'display_name': 'Office of Postsecondary Education, Department of Education', 'sortable_name': 'Postsecondary Education, Office of', 'slug': 'office-of-postsecondary-education', 'cfr_references': [{'title': 34, 'chapter': 'VI'}]}, {'name': 'Office of Secretary of Education', 'short_name': '', 'display_name': 'Office of Secretary of Education, Department of Education', 'sortable_name': 'Secretary of Education, Office of', 'slug': 'office-of-secretary-of-education', 'cfr_references': [{'title': 34, 'subtitle': 'A'}]}, {'name': 'Office of Special Education and Rehabilitative Services', 'short_name': '', 'display_name': 'Office of Special Education and Rehabilitative Services, Department of Education', 'sortable_name': 'Special Education and Rehabilitative Services, Office of', 'slug': 'office-of-special-education-and-rehabilitative-services', 'cfr_references': [{'title': 34, 'chapter': 'III'}]}]","[{'title': 2, 'chapter': 'XXXIV'}, {'title': 5, 'chapter': 'LIII'}]",Department of Education,7602
Election Assistance Commission,EAC,Election Assistance Commission,Election Assistance Commission,election-assistance-commission,[],"[{'title': 2, 'chapter': 'LVIII'}, {'title': 11, 'chapter': 'II'}]",Election Assistance Commission,21475
Emergency Oil and Gas Guaranteed Loan Board,,Emergency Oil and Gas Guaranteed Loan Board,Emergency Oil and Gas Guaranteed Loan Board,emergency-oil-and-gas-guaranteed-loan-board,[],"[{'title': 13, 'chapter': 'V'}]",Emergency Oil and Gas Guaranteed Loan Board,13692
Emergency Steel Guarantee Loan Board,,Emergency Steel Guarantee Loan Board,Emergency Steel Guarantee Loan Board,emergency-steel-guarantee-loan-board,[],"[{'title': 13, 'chapter': 'IV'}]",Emergency Steel Guarantee Loan Board,13476
National Commission for Employment Policy,,National Commission for Employment Policy,"Employment Policy, National Commission for",national-commission-for-employment-policy,[],"[{'title': 1, 'chapter': 'IV', 'part': '500'}]",National Commission for Employment Policy,3612
Department of Energy,DOE,Department of Energy,"Energy, Department of",energy-department,"[{'name': 'Federal Energy Regulatory Commission', 'short_name': 'FERC', 'display_name': 'Federal Energy Regulatory Commission, Department of Energy', 'sortable_name': 'Federal Energy Regulatory Commission', 'slug': 'federal-energy-regulatory-commission', 'cfr_references': [{'title': 5, 'chapter': 'XXIV'}, {'title': 18, 'chapter': 'I'}]}]","[{'title': 2, 'chapter': 'IX'}, {'title': 5, 'chapter': 'XXIII'}, {'title': 10, 'chapter': 'II'}, {'title': 10, 'chapter': 'III'}, {'title': 10, 'chapter': 'X'}, {'title': 41, 'chapter': '109'}, {'title': 48, 'chapter': '9'}]",Department of Energy,1699594
Joint Board for the Enrollment of Actuaries,JBEA,Joint Board for the Enrollment of Actuaries,"Enrollment of Actuaries, Joint Board for the",joint-board-for-enrollment-of-actuaries,[],"[{'title': 20, 'chapter': 'VIII'}]",Joint Board for the Enrollment of Actuaries,20947
Environmental Protection Agency,EPA,Environmental Protection Agency,Environmental Protection Agency,environmental-protection-agency,[],"[{'title': 2, 'chapter': 'XV'}, {'title': 5, 'chapter': 'LIV'}, {'title': 40, 'chapter': 'I'}, {'title': 40, 'chapter': 'IV'}, {'title': 40, 'chapter': 'VII'}, {'title': 41, 'chapter': '115'}, {'title': 48, 'chapter': '15'}]",Environmental Protection Agency,16715698
Equal Employment Opportunity Commission,EEOC,Equal Employment Opportunity Commission,Equal Employment Opportunity Commission,equal-employment-opportunity-commission,[],"[{'title': 5, 'chapter': 'LXII'}, {'title': 29, 'chapter': 'XIV'}]",Equal Employment Opportunity Commission,269789
Executive Office of the President,EOP,Executive Office of the President,Executive Office of the President,executive-office-of-the-president,"[{'name': 'Council on Environmental Quality', 'short_name': 'CEQ', 'display_name': 'Council on Environmental Quality, Executive Office of the President', 'sortable_name': 'Environmental Quality, Council on', 'slug': 'council-on-environmental-quality', 'cfr_references': [{'title': 40, 'chapter': 'V'}]}, {'name': 'National Security Council', 'short_name': 'NSC', 'display_name': 'National Security Council, Executive Office of the President', 'sortable_name': 'National Security Council', 'slug': 'national-security-council', 'cfr_references': [{'title': 32, 'chapter': 'XXI'}, {'title': 47, 'chapter': 'II'}]}, {'name': 'Office of Science and Technology Policy', 'short_name': 'OSTP', 'display_name': 'Office of Science and Technology Policy, Executive Office of the President', 'sortable_name': 'Science and Technology Policy, Office of', 'slug': 'science-and-technology-policy-office', 'cfr_references': [{'title': 32, 'chapter': 'XXIV'}, {'title': 47, 'chapter': 'II'}]}, {'name': 'Office of the Intellectual Property Enforcement Coordinator', 'short_name': 'IPEC', 'display_name': 'Office of the Intellectual Property Enforcement Coordinator, Executive Office of the President', 'sortable_name': 'Office of the Intellectual Property Enforcement Coordinator', 'slug': 'office-of-the-intellectual-property-enforcement-coordinator', 'cfr_references': [{'title': 5, 'chapter': 'CIV'}]}]","[{'title': 3, 'chapter': 'I'}]",Executive Office of the President,4217
